start|end|text
0.0|20.0| Музыка uh Редактор субтитров А.Семкин ¡Suscríbete! ¡Suscríbete!
20.0|21.0| ¡Suscríbete!
21.0|22.0| ¡Suscríbete!
22.0|23.0| ¡Suscríbete!
23.0|24.0| ¡Suscríbete!
24.0|25.0| ¡Suscríbete!
25.0|26.0| ¡Suscríbete!
26.0|27.0| ¡Suscríbete!
27.0|28.0| ¡Suscríbete!
28.0|29.0| ¡Suscríbete!
29.0|30.0| ¡Suscríbete!
30.0|31.0| ¡Suscríbete!
31.0|32.0| ¡Suscríbete!
32.0|33.0| ¡Suscríbete!
33.0|34.0| ¡Suscríbete!
34.0|35.0| ¡Suscríbete!
35.0|36.0| ¡Suscríbete!
36.0|37.0| ¡Suscríbete!
37.0|38.0| ¡Suscríbete!
38.0|39.0| ¡Suscríbete!
39.0|40.0| ¡Suscríbete!
40.0|41.0| ¡Suscríbete!
41.0|42.0| ¡Suscríbete!
42.0|43.0| ¡Suscríbete!
43.0|44.0| ¡Suscríbete!
44.0|45.0| ¡Suscríbete!
45.0|46.0| ¡Suscríbete!
46.0|47.0| ¡Suscríbete!
47.0|28.0| Gracias por ver el video. 호요디야 호요디야 호요디야 호요디야 호요디야 호요디야 호요디야
28.0|29.0| 호요디야 호요디야
29.0|31.0| 이리 살려달라
31.0|33.0| 어쩜 마을
33.0|34.0| 아기에 섰어
34.0|36.0| 마을의 평안함을
36.0|38.0| 기원하는 짓도백이 찐토베기 찐토베기
38.0|39.0| 찐토베기
39.0|40.0| 찐토베기
40.0|41.0| 찐토베기
41.0|42.0| 찐토베기
42.0|43.0| 찐토베기
43.0|44.0| 찐토베기 찐토베기 찐토베기 또백기
44.0|46.0| 우리
46.0|48.0| 세마리 선대에 앉아
48.0|51.0| 물불 바람을 막아주는
51.0|53.0| 진또배기
53.0|54.0| 진또배기
54.0|55.0| 진또배기
55.0|56.0| 진또배기 진또배기 신도백길
56.0|58.0| 신도백길
58.0|60.0| 오진 비바람을
60.0|64.0| 견디면 바다의 심수를 막아주고
64.86|68.0| 말없이 마을을 지켜온
68.0|70.0| 진보백이
70.0|72.0| 진보백이
72.0|82.0| 허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허� 웅어와 풍년을 빌면서
82.0|86.0| 일년 내에 내 기원하는
86.0|88.0| 진또배기
88.0|90.0| 진또배기
90.0|104.0| 진또배기 진또배기 또 백일 Субтитры создавал DimaTorzok ¡Suscríbete al canal! ¡Suscríbete al canal!
104.0|105.0| ¡Suscríbete al canal!
105.0|106.0| ¡Suscríbete al canal!
106.0|107.0| ¡Suscríbete al canal!
107.0|108.0| ¡Suscríbete al canal!
108.0|109.0| ¡Suscríbete al canal!
109.0|120.0| ¡Suscríbete al canal! ¡Suscríbete al canal! ¡Suscríbete al canal! Hayatın ya, hayatın ya, hayatın ya, hayatın ya我愛你愛你
120.0|125.0|我愛你愛你愛你我愛你 배 띄워라 너를 겨워라
125.0|128.0| 파도가 노래한다 춤을 춘다
128.0|130.0| 찐또배기
130.0|132.0| 찐또배기
132.0|134.0| 찐또배기 찐또배기
134.0|135.0| 찐또배기
135.0|136.0| 찐또배기
136.0|137.0| 찐또배기
137.0|138.0| 찐또배기
138.0|139.0| 찐또배기
139.0|142.0| 찐또배기 찐또배기 찐또배기 물불 바람을 막아준
142.0|144.0| 진또배기
144.0|146.0| 진또배기 진또배기
146.0|148.0| 찐또배기
148.0|150.0| 찐또배기
150.0|152.0| 오직 비바람을 견디며
152.0|156.0| 바다의 습수를 막아주고
156.0|160.0| 말없이 마을을 지켜온
160.0|173.0| 진보백이 진보백이 진보백이 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 오 성악을 울려라 말선이다
173.0|176.0| 신나게 춤을 추자 동년이다
176.0|178.0| 진또베기
178.0|180.0| 진또베기
180.0|| 진또베기 진또베기芥朴伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯伯おやりよC.A.N.D.
